,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.53,20.04,288.15,58,100,4.6,ZA,1603143847
1,korla,41.76,86.15,280.37,79,0,0.45,CN,1603143847
2,atuona,-9.8,-139.03,298.96,76,0,7.78,PF,1603143847
3,brigham city,41.51,-112.02,291.4,25,1,4.67,US,1603143848
4,arraial do cabo,-22.97,-42.03,296.15,78,40,9.8,BR,1603143848
5,betioky,-23.72,44.38,291.81,64,0,0.75,MG,1603143848
6,butaritari,3.07,172.79,300.98,76,76,4.98,KI,1603143848
7,provideniya,64.38,-173.3,272.15,80,40,1.0,RU,1603143848
8,launceston,-41.45,147.17,284.9,87,40,3.1,AU,1603143813
9,haines junction,60.75,-137.51,272.41,73,100,0.53,CA,1603143849
10,perth,-31.93,115.83,288.44,87,0,3.1,AU,1603143615
11,puerto ayora,-0.74,-90.35,295.72,69,75,2.6,EC,1603143849
12,kutum,14.2,24.67,298.1,18,20,5.35,SD,1603143850
13,busselton,-33.65,115.33,283.96,74,1,4.28,AU,1603143850
14,broken hill,-31.95,141.43,288.15,47,50,3.1,AU,1603143850
15,carnarvon,-24.87,113.63,293.15,72,90,4.6,AU,1603143850
16,zhangjiakou,40.81,114.88,280.75,50,85,0.94,CN,1603143850
17,skegness,53.14,0.34,283.71,81,100,7.15,GB,1603143851
18,craig,40.52,-107.55,289.77,23,1,6.7,US,1603143851
19,marsa matruh,31.35,27.25,298.15,69,73,2.41,EG,1603143851
20,tuktoyaktuk,69.45,-133.04,268.4,98,93,2.22,CA,1603143852
21,punta arenas,-53.15,-70.92,278.93,72,20,15.4,CL,1603143727
22,puerto del rosario,28.5,-13.86,295.15,83,20,1.47,ES,1603143852
23,albany,42.6,-73.97,287.04,74,100,1.84,US,1603143852
24,dikson,73.51,80.55,268.64,95,98,7.84,RU,1603143852
25,chuy,-33.7,-53.46,293.79,74,0,2.8,UY,1603143853
26,hilo,19.73,-155.09,299.67,58,20,5.1,US,1603143780
